model,threshold,accuracy,precision,recall,f1,roc_auc
XGBoost,0.24000000000000005,0.8007200672763587,0.37111538026895696,0.6193889098453413,0.4641368101194262,0.8248880654282842
CatBoost,0.25000000000000006,0.8106275622831914,0.38316151202749144,0.5888344021124104,0.4642379182156134,0.8260635191674754
Random Forest,0.22000000000000003,0.7674498055292758,0.32947115384615383,0.6462655601659751,0.4364412176792765,0.7961507712774383
Logistic Regression,0.6400000000000001,0.8031246715021549,0.3727552740163887,0.6048660882685779,0.46125633742044514,0.8221153734295858
